Rep 3, sep = 6: Witten [feat = 326, acc = 0.560], Arias [feat = 48, acc = 0.805], IF-PCA [feat = 129, acc = 0.505]
Rep 10, sep = 6: Witten [feat = 83, acc = 0.545], Arias [feat = 48, acc = 0.885], IF-PCA [feat = 197, acc = 0.550]
Rep 4, sep = 6: Witten [feat = 318, acc = 0.585], Arias [feat = 24, acc = 0.880], IF-PCA [feat = 144, acc = 0.510]
Rep 6, sep = 6: Witten [feat = 400, acc = 0.525], Arias [feat = 40, acc = 0.895], IF-PCA [feat = 47, acc = 0.515]
Rep 5, sep = 6: Witten [feat = 156, acc = 0.500], Arias [feat = 72, acc = 0.875], IF-PCA [feat = 130, acc = 0.520]
Rep 12, sep = 6: Witten [feat = 400, acc = 0.900], Arias [feat = 32, acc = 0.915], IF-PCA [feat = 143, acc = 0.520]
Rep 13, sep = 6: Witten [feat = 400, acc = 0.550], Arias [feat = 40, acc = 0.885], IF-PCA [feat = 86, acc = 0.665]
Rep 15, sep = 6: Witten [feat = 73, acc = 0.535], Arias [feat = 40, acc = 0.955], IF-PCA [feat = 119, acc = 0.505]
Rep 2, sep = 6: Witten [feat = 263, acc = 0.510], Arias [feat = 48, acc = 0.865], IF-PCA [feat = 44, acc = 0.565]
Rep 7, sep = 6: Witten [feat = 47, acc = 0.870], Arias [feat = 56, acc = 0.875], IF-PCA [feat = 59, acc = 0.555]
Rep 1, sep = 6: Witten [feat = 339, acc = 0.560], Arias [feat = 48, acc = 0.875], IF-PCA [feat = 35, acc = 0.575]
Rep 14, sep = 6: Witten [feat = 244, acc = 0.520], Arias [feat = 24, acc = 0.895], IF-PCA [feat = 167, acc = 0.600]
Rep 9, sep = 6: Witten [feat = 224, acc = 0.530], Arias [feat = 32, acc = 0.770], IF-PCA [feat = 121, acc = 0.540]
Rep 8, sep = 6: Witten [feat = 57, acc = 0.540], Arias [feat = 48, acc = 0.895], IF-PCA [feat = 198, acc = 0.520]
Rep 11, sep = 6: Witten [feat = 400, acc = 0.550], Arias [feat = 8, acc = 0.525], IF-PCA [feat = 167, acc = 0.580]
Rep 22, sep = 6: Witten [feat = 268, acc = 0.535], Arias [feat = 56, acc = 0.840], IF-PCA [feat = 91, acc = 0.590]
Rep 21, sep = 6: Witten [feat = 400, acc = 0.505], Arias [feat = 24, acc = 0.890], IF-PCA [feat = 99, acc = 0.545]
Rep 23, sep = 6: Witten [feat = 317, acc = 0.525], Arias [feat = 104, acc = 0.835], IF-PCA [feat = 19, acc = 0.545]
Rep 20, sep = 6: Witten [feat = 400, acc = 0.505], Arias [feat = 8, acc = 0.515], IF-PCA [feat = 25, acc = 0.530]
Rep 18, sep = 6: Witten [feat = 230, acc = 0.540], Arias [feat = 88, acc = 0.515], IF-PCA [feat = 200, acc = 0.510]
Rep 17, sep = 6: Witten [feat = 274, acc = 0.530], Arias [feat = 24, acc = 0.905], IF-PCA [feat = 150, acc = 0.540]
Rep 16, sep = 6: Witten [feat = 400, acc = 0.515], Arias [feat = 40, acc = 0.845], IF-PCA [feat = 138, acc = 0.520]
Rep 26, sep = 6: Witten [feat = 400, acc = 0.825], Arias [feat = 16, acc = 0.550], IF-PCA [feat = 187, acc = 0.545]
Rep 27, sep = 6: Witten [feat = 298, acc = 0.550], Arias [feat = 40, acc = 0.940], IF-PCA [feat = 131, acc = 0.770]
Rep 30, sep = 6: Witten [feat = 229, acc = 0.515], Arias [feat = 40, acc = 0.825], IF-PCA [feat = 148, acc = 0.515]
Rep 25, sep = 6: Witten [feat = 400, acc = 0.550], Arias [feat = 8, acc = 0.545], IF-PCA [feat = 90, acc = 0.555]
Rep 24, sep = 6: Witten [feat = 400, acc = 0.515], Arias [feat = 32, acc = 0.760], IF-PCA [feat = 78, acc = 0.545]
Rep 19, sep = 6: Witten [feat = 340, acc = 0.510], Arias [feat = 32, acc = 0.835], IF-PCA [feat = 174, acc = 0.590]
Rep 28, sep = 6: Witten [feat = 58, acc = 0.515], Arias [feat = 16, acc = 0.540], IF-PCA [feat = 72, acc = 0.515]
Rep 29, sep = 6: Witten [feat = 400, acc = 0.575], Arias [feat = 56, acc = 0.945], IF-PCA [feat = 65, acc = 0.525]
Rep 34, sep = 6: Witten [feat = 44, acc = 0.540], Arias [feat = 88, acc = 0.870], IF-PCA [feat = 52, acc = 0.560]
Rep 32, sep = 6: Witten [feat = 400, acc = 0.890], Arias [feat = 48, acc = 0.820], IF-PCA [feat = 91, acc = 0.515]
Rep 36, sep = 6: Witten [feat = 225, acc = 0.545], Arias [feat = 48, acc = 0.900], IF-PCA [feat = 39, acc = 0.515]
Rep 31, sep = 6: Witten [feat = 243, acc = 0.525], Arias [feat = 40, acc = 0.885], IF-PCA [feat = 52, acc = 0.565]
Rep 35, sep = 6: Witten [feat = 255, acc = 0.520], Arias [feat = 48, acc = 0.885], IF-PCA [feat = 130, acc = 0.525]
Rep 37, sep = 6: Witten [feat = 400, acc = 0.860], Arias [feat = 32, acc = 0.870], IF-PCA [feat = 60, acc = 0.525]
Rep 40, sep = 6: Witten [feat = 400, acc = 0.520], Arias [feat = 48, acc = 0.890], IF-PCA [feat = 18, acc = 0.540]
Rep 38, sep = 6: Witten [feat = 400, acc = 0.505], Arias [feat = 72, acc = 0.875], IF-PCA [feat = 58, acc = 0.505]
Rep 33, sep = 6: Witten [feat = 293, acc = 0.525], Arias [feat = 32, acc = 0.520], IF-PCA [feat = 20, acc = 0.505]
Rep 42, sep = 6: Witten [feat = 200, acc = 0.550], Arias [feat = 48, acc = 0.870], IF-PCA [feat = 29, acc = 0.540]
Rep 43, sep = 6: Witten [feat = 400, acc = 0.505], Arias [feat = 40, acc = 0.910], IF-PCA [feat = 97, acc = 0.555]
Rep 39, sep = 6: Witten [feat = 400, acc = 0.505], Arias [feat = 40, acc = 0.905], IF-PCA [feat = 11, acc = 0.695]
Rep 41, sep = 6: Witten [feat = 343, acc = 0.550], Arias [feat = 16, acc = 0.515], IF-PCA [feat = 117, acc = 0.535]
Rep 44, sep = 6: Witten [feat = 27, acc = 0.550], Arias [feat = 72, acc = 0.805], IF-PCA [feat = 30, acc = 0.520]
Rep 45, sep = 6: Witten [feat = 354, acc = 0.530], Arias [feat = 72, acc = 0.830], IF-PCA [feat = 168, acc = 0.540]
Rep 46, sep = 6: Witten [feat = 226, acc = 0.500], Arias [feat = 64, acc = 0.510], IF-PCA [feat = 43, acc = 0.585]
Rep 48, sep = 6: Witten [feat = 400, acc = 0.540], Arias [feat = 24, acc = 0.865], IF-PCA [feat = 29, acc = 0.525]
Rep 49, sep = 6: Witten [feat = 400, acc = 0.555], Arias [feat = 32, acc = 0.905], IF-PCA [feat = 126, acc = 0.530]
Rep 54, sep = 6: Witten [feat = 268, acc = 0.520], Arias [feat = 48, acc = 0.850], IF-PCA [feat = 57, acc = 0.510]
Rep 47, sep = 6: Witten [feat = 78, acc = 0.500], Arias [feat = 40, acc = 0.895], IF-PCA [feat = 39, acc = 0.540]
Rep 57, sep = 6: Witten [feat = 400, acc = 0.865], Arias [feat = 40, acc = 0.860], IF-PCA [feat = 146, acc = 0.550]
Rep 55, sep = 6: Witten [feat = 400, acc = 0.550], Arias [feat = 56, acc = 0.885], IF-PCA [feat = 178, acc = 0.500]
Rep 52, sep = 6: Witten [feat = 400, acc = 0.535], Arias [feat = 64, acc = 0.940], IF-PCA [feat = 90, acc = 0.570]
Rep 56, sep = 6: Witten [feat = 258, acc = 0.535], Arias [feat = 40, acc = 0.865], IF-PCA [feat = 53, acc = 0.500]
Rep 53, sep = 6: Witten [feat = 214, acc = 0.515], Arias [feat = 64, acc = 0.925], IF-PCA [feat = 34, acc = 0.565]
Rep 50, sep = 6: Witten [feat = 228, acc = 0.550], Arias [feat = 24, acc = 0.875], IF-PCA [feat = 177, acc = 0.605]
Rep 58, sep = 6: Witten [feat = 237, acc = 0.535], Arias [feat = 40, acc = 0.880], IF-PCA [feat = 22, acc = 0.695]
Rep 51, sep = 6: Witten [feat = 400, acc = 0.535], Arias [feat = 120, acc = 0.535], IF-PCA [feat = 18, acc = 0.570]
Rep 60, sep = 6: Witten [feat = 214, acc = 0.570], Arias [feat = 32, acc = 0.865], IF-PCA [feat = 197, acc = 0.560]
Rep 59, sep = 6: Witten [feat = 400, acc = 0.505], Arias [feat = 32, acc = 0.525], IF-PCA [feat = 86, acc = 0.540]
Rep 62, sep = 6: Witten [feat = 315, acc = 0.870], Arias [feat = 40, acc = 0.885], IF-PCA [feat = 194, acc = 0.710]
Rep 63, sep = 6: Witten [feat = 400, acc = 0.550], Arias [feat = 56, acc = 0.895], IF-PCA [feat = 168, acc = 0.605]
Rep 5, sep = 8: Witten [feat = 310, acc = 0.980], Arias [feat = 16, acc = 0.980], IF-PCA [feat = 132, acc = 0.730]
Rep 6, sep = 8: Witten [feat = 319, acc = 0.970], Arias [feat = 16, acc = 0.975], IF-PCA [feat = 21, acc = 0.755]
Rep 7, sep = 8: Witten [feat = 400, acc = 0.980], Arias [feat = 16, acc = 0.990], IF-PCA [feat = 38, acc = 0.915]
Rep 4, sep = 8: Witten [feat = 386, acc = 0.530], Arias [feat = 16, acc = 0.980], IF-PCA [feat = 185, acc = 0.795]
Rep 3, sep = 8: Witten [feat = 174, acc = 0.985], Arias [feat = 16, acc = 0.985], IF-PCA [feat = 156, acc = 0.565]
Rep 8, sep = 8: Witten [feat = 337, acc = 0.520], Arias [feat = 16, acc = 0.985], IF-PCA [feat = 102, acc = 0.590]
Rep 9, sep = 8: Witten [feat = 164, acc = 0.510], Arias [feat = 8, acc = 0.965], IF-PCA [feat = 180, acc = 0.530]
Rep 1, sep = 8: Witten [feat = 315, acc = 0.520], Arias [feat = 16, acc = 0.990], IF-PCA [feat = 64, acc = 0.860]
Rep 2, sep = 8: Witten [feat = 204, acc = 0.570], Arias [feat = 16, acc = 0.985], IF-PCA [feat = 26, acc = 0.920]
Rep 10, sep = 8: Witten [feat = 233, acc = 0.560], Arias [feat = 8, acc = 0.975], IF-PCA [feat = 61, acc = 0.840]
Rep 13, sep = 8: Witten [feat = 279, acc = 0.550], Arias [feat = 16, acc = 0.970], IF-PCA [feat = 168, acc = 0.820]
Rep 12, sep = 8: Witten [feat = 400, acc = 0.515], Arias [feat = 16, acc = 0.985], IF-PCA [feat = 138, acc = 0.595]
Rep 11, sep = 8: Witten [feat = 400, acc = 0.510], Arias [feat = 16, acc = 1.000], IF-PCA [feat = 144, acc = 0.735]
